bash 	c 	c# 	c++ 	clojur 	coffee 	delphi 	erlang 	f# 	go 	groovy 	haskel 	java 	javasc 	lua 	object 	perl 	php 	python 	r 	ruby 	rust 	scala 	sql 	swift 	
	273 	25 	40 	33 	9 	1 	4 	6 	22 	17 	18 	91 	108 	11 	21 	14 	182 	98 	6 	76 	5 	26 	272 	17 	bash
		38 	68 	19 	7 	5 	7 	7 	18 	4 	22 	67 	79 	17 	32 	13 	137 	89 	8 	48 	13 	16 	245 	21 	c
			50 	13 	6 	5 	8 	30 	15 	4 	15 	60 	118 	14 	15 	4 	46 	62 	8 	31 	7 	13 	54 	11 	c#
				11 	4 	7 	2 	5 	14 	3 	12 	66 	76 	13 	23 	11 	41 	82 	11 	24 	10 	17 	26 	16 	c++
					9 	1 	10 	8 	16 	8 	23 	50 	76 	4 	6 	2 	10 	54 	9 	53 	11 	31 	15 	9 	clojur
						0 	0 	0 	8 	4 	4 	12 	33 	2 	6 	1 	8 	17 	3 	24 	2 	7 	10 	6 	coffee
							0 	1 	1 	0 	0 	6 	12 	0 	3 	0 	7 	2 	0 	0 	0 	1 	9 	0 	delphi
								4 	5 	2 	11 	11 	17 	3 	2 	1 	3 	11 	2 	13 	5 	8 	2 	3 	erlang
									0 	2 	12 	10 	21 	4 	1 	0 	3 	9 	5 	6 	3 	8 	9 	1 	f#
										2 	9 	24 	53 	4 	5 	6 	17 	46 	5 	32 	14 	18 	18 	8 	go
											2 	33 	23 	0 	1 	3 	4 	15 	3 	13 	1 	13 	9 	2 	groovy
												29 	44 	3 	9 	3 	7 	33 	9 	29 	3 	22 	9 	10 	haskel
													169 	14 	33 	15 	70 	110 	16 	68 	14 	55 	54 	29 	java
														17 	44 	18 	153 	175 	21 	134 	20 	61 	123 	35 	javasc
															2 	2 	5 	18 	3 	7 	4 	6 	6 	2 	lua
																4 	17 	29 	1 	28 	2 	4 	9 	45 	object
																	11 	13 	2 	9 	2 	3 	10 	3 	perl
																		74 	6 	47 	1 	6 	191 	12 	php
																			25 	75 	22 	40 	56 	24 	python
																				4 	1 	4 	18 	0 	r
																					8 	34 	37 	28 	ruby
																						11 	2 	2 	rust
																							12 	7 	scala
																								9 	sql
																									swift
